2019.09.26 09:53:43 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@18dfd40 [pattern=UrlPattern{inclusions=[/api/measures/component/*, ...], exclusions=[/api/properties*, ...]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@1c976aa [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@103f4fd [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@ef299f [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@1339263 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@dce80a [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@1f12f23 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@19c5c92 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2019.09.26 09:53:43 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2019.09.26 09:53:43 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2019.09.26 09:53:43 INFO  web[][o.s.s.p.Platform] WebServer is operational
